timestamp,z20_y0_x0,z20_y0_x5,z20_y0_x10,z20_y0_x15,z20_y0_x20,z20_y0_x25,z20_y0_x30,z20_y0_x35,z20_y0_x40,z20_y0_x45,z20_y0_x50,z20_y0_x55,z20_y0_x60,z20_y0_x65,z20_y0_x70,z20_y0_x75,z20_y0_x80,z25_y0_x0,z25_y0_x5,z25_y0_x10,z25_y0_x15,z25_y0_x20,z25_y0_x25,z25_y0_x30,z25_y0_x35,z25_y0_x40,z25_y0_x45,z25_y0_x50,z25_y0_x55,z25_y0_x60,z25_y0_x65,z25_y0_x70,z25_y0_x75,z25_y0_x80,z30_y0_x0,z30_y0_x5,z30_y0_x10,z30_y0_x15,z30_y0_x20,z30_y0_x25,z30_y0_x30,z30_y0_x35,z30_y0_x40,z30_y0_x45,z30_y0_x50,z30_y0_x55,z30_y0_x60,z30_y0_x65,z30_y0_x70,z30_y0_x75,z30_y0_x80,z35_y0_x0,z35_y0_x5,z35_y0_x10,z35_y0_x15,z35_y0_x20,z35_y0_x25,z35_y0_x30,z35_y0_x35,z35_y0_x40,z35_y0_x45,z35_y0_x50,z35_y0_x55,z35_y0_x60,z35_y0_x65,z35_y0_x70,z35_y0_x75,z35_y0_x80,z40_y0_x0,z40_y0_x5,z40_y0_x10,z40_y0_x15,z40_y0_x20,z40_y0_x25,z40_y0_x30,z40_y0_x35,z40_y0_x40,z40_y0_x45,z40_y0_x50,z40_y0_x55,z40_y0_x60,z40_y0_x65,z40_y0_x70,z40_y0_x75,z40_y0_x80,z45_y0_x0,z45_y0_x5,z45_y0_x10,z45_y0_x15,z45_y0_x20,z45_y0_x25,z45_y0_x30,z45_y0_x35,z45_y0_x40,z45_y0_x45,z45_y0_x50,z45_y0_x55,z45_y0_x60,z45_y0_x65,z45_y0_x70,z45_y0_x75,z45_y0_x80,z50_y0_x0,z50_y0_x5,z50_y0_x10,z50_y0_x15,z50_y0_x20,z50_y0_x25,z50_y0_x30,z50_y0_x35,z50_y0_x40,z50_y0_x45,z50_y0_x50,z50_y0_x55,z50_y0_x60,z50_y0_x65,z50_y0_x70,z50_y0_x75,z50_y0_x80,z55_y0_x0,z55_y0_x5,z55_y0_x10,z55_y0_x15,z55_y0_x20,z55_y0_x25,z55_y0_x30,z55_y0_x35,z55_y0_x40,z55_y0_x45,z55_y0_x50,z55_y0_x55,z55_y0_x60,z55_y0_x65,z55_y0_x70,z55_y0_x75,z55_y0_x80,z60_y0_x0,z60_y0_x5,z60_y0_x10,z60_y0_x15,z60_y0_x20,z60_y0_x25,z60_y0_x30,z60_y0_x35,z60_y0_x40,z60_y0_x45,z60_y0_x50,z60_y0_x55,z60_y0_x60,z60_y0_x65,z60_y0_x70,z60_y0_x75,z60_y0_x80
1655938800,-22.257,-21.990,-21.990,-22.163,-23.791,-23.791,-32.642,-32.642,-56.678,-132.101,-132.101,-243.838,-389.206,-389.206,-486.622,-486.622,-497.405,-22.161,-21.942,-21.942,-22.180,-23.873,-23.873,-32.836,-32.836,-57.235,-134.595,-134.595,-250.242,-396.042,-396.042,-476.433,-476.433,-466.399,-22.128,-21.967,-21.967,-22.280,-24.054,-24.054,-33.187,-33.187,-58.157,-138.346,-138.346,-258.765,-400.999,-400.999,-458.733,-458.733,-428.428,-22.644,-22.572,-22.572,-23.010,-24.935,-24.935,-34.568,-34.568,-61.101,-148.805,-148.805,-279.439,-399.888,-399.888,-404.659,-404.659,-344.666,-23.667,-23.589,-23.589,-24.033,-26.004,-26.004,-36.030,-36.030,-63.575,-155.488,-155.488,-290.056,-388.118,-388.118,-363.504,-363.504,-294.635,-26.305,-26.065,-26.065,-26.376,-28.348,-28.348,-39.130,-39.130,-68.130,-159.025,-159.025,-279.364,-338.423,-338.423,-292.973,-292.973,-229.075,-30.554,-29.962,-29.962,-29.959,-31.817,-31.817,-43.539,-43.539,-74.105,-163.084,-163.084,-267.955,-293.229,-293.229,-238.272,-238.272,-182.432,-45.584,-43.063,-43.063,-41.395,-42.322,-42.322,-56.144,-56.144,-89.572,-173.102,-173.102,-246.122,-226.193,-226.193,-170.396,-170.396,-128.838,-56.755,-52.169,-52.169,-48.886,-48.858,-48.858,-63.647,-63.647,-98.283,-178.659,-178.659,-236.514,-204.078,-204.078,-150.934,-150.934,-114.258
1655942400,-22.555,-22.559,-22.559,-23.129,-25.349,-25.349,-32.940,-32.940,-53.937,-122.132,-122.132,-239.840,-387.611,-387.611,-485.923,-485.923,-497.070,-22.576,-22.599,-22.599,-23.202,-25.461,-25.461,-33.135,-33.135,-54.407,-124.178,-124.178,-245.767,-394.159,-394.159,-475.645,-475.645,-466.223,-22.713,-22.757,-22.757,-23.396,-25.706,-25.706,-33.517,-33.517,-55.266,-127.580,-127.580,-254.124,-399.138,-399.138,-457.975,-457.975,-428.369,-23.701,-23.767,-23.767,-24.457,-26.877,-26.877,-35.146,-35.146,-58.346,-137.599,-137.599,-274.637,-398.031,-398.031,-403.476,-403.476,-344.073,-24.909,-24.954,-24.954,-25.631,-28.109,-28.109,-36.777,-36.777,-61.050,-144.130,-144.130,-284.452,-385.183,-385.183,-360.833,-360.833,-292.652,-27.044,-27.007,-27.007,-27.609,-30.145,-30.145,-39.472,-39.472,-65.312,-149.212,-149.212,-275.333,-336.537,-336.537,-291.300,-291.300,-228.448,-30.410,-30.183,-30.183,-30.592,-33.141,-33.141,-43.358,-43.358,-71.096,-154.786,-154.786,-264.604,-291.582,-291.582,-236.965,-236.965,-182.465,-42.467,-41.063,-41.063,-40.279,-42.370,-42.370,-54.829,-54.829,-86.597,-167.511,-167.511,-243.683,-225.030,-225.030,-169.896,-169.896,-129.915,-51.360,-48.617,-48.617,-46.593,-48.037,-48.037,-61.577,-61.577,-95.109,-174.134,-174.134,-234.929,-203.757,-203.757,-151.314,-151.314,-116.114
1655946000,-23.055,-23.201,-23.201,-24.037,-26.540,-26.540,-33.451,-33.451,-52.101,-113.269,-113.269,-234.731,-385.812,-385.812,-485.161,-485.161,-496.691,-23.152,-23.306,-23.306,-24.160,-26.691,-26.691,-33.670,-33.670,-52.546,-114.996,-114.996,-240.208,-392.085,-392.085,-474.799,-474.799,-465.994,-23.391,-23.554,-23.554,-24.427,-26.996,-26.996,-34.095,-34.095,-53.386,-118.084,-118.084,-248.379,-397.088,-397.088,-457.158,-457.158,-428.247,-24.600,-24.764,-24.764,-25.663,-28.341,-28.341,-35.876,-35.876,-56.548,-127.684,-127.684,-268.767,-395.990,-395.990,-402.195,-402.195,-343.362,-25.824,-25.972,-25.972,-26.863,-29.616,-29.616,-37.534,-37.534,-59.296,-134.122,-134.122,-278.022,-382.176,-382.176,-358.190,-358.190,-290.748,-27.736,-27.834,-27.834,-28.682,-31.524,-31.524,-40.023,-40.023,-63.321,-140.170,-140.170,-270.557,-334.536,-334.536,-289.598,-289.598,-227.800,-30.602,-30.588,-30.588,-31.315,-34.237,-34.237,-43.535,-43.535,-68.796,-146.848,-146.848,-260.740,-289.865,-289.865,-235.678,-235.678,-182.491,-40.537,-39.793,-39.793,-39.699,-42.485,-42.485,-53.932,-53.932,-83.830,-161.836,-161.836,-241.051,-223.892,-223.892,-169.517,-169.517,-130.983,-47.846,-46.240,-46.240,-45.221,-47.605,-47.605,-60.135,-60.135,-92.160,-169.402,-169.402,-233.122,-203.341,-203.341,-151.635,-151.635,-117.726
1655949600,-23.639,-23.867,-23.867,-24.876,-27.523,-27.523,-34.020,-34.020,-50.882,-105.653,-105.653,-228.594,-383.776,-383.776,-484.343,-484.343,-496.275,-23.787,-24.019,-24.019,-25.039,-27.710,-27.710,-34.270,-34.270,-51.328,-107.160,-107.160,-233.650,-389.787,-389.787,-473.905,-473.905,-465.722,-24.089,-24.324,-24.324,-25.357,-28.064,-28.064,-34.735,-34.735,-52.168,-109.982,-109.982,-241.612,-394.818,-394.818,-456.290,-456.290,-428.074,-25.400,-25.635,-25.635,-26.691,-29.515,-29.515,-36.606,-36.606,-55.364,-119.156,-119.156,-261.899,-393.746,-393.746,-400.830,-400.830,-342.551,-26.605,-26.828,-26.828,-27.887,-30.798,-30.798,-38.255,-38.255,-58.078,-125.471,-125.471,-270.811,-379.077,-379.077,-355.578,-355.578,-288.919,-28.373,-28.567,-28.567,-29.605,-32.627,-32.627,-40.611,-40.611,-61.898,-132.055,-132.055,-265.060,-332.414,-332.414,-287.879,-287.879,-227.142,-30.915,-31.038,-31.038,-32.007,-35.147,-35.147,-43.853,-43.853,-67.048,-139.451,-139.451,-256.364,-288.077,-288.077,-234.418,-234.418,-182.515,-39.360,-39.023,-39.023,-39.441,-42.652,-42.652,-53.350,-53.350,-81.373,-156.166,-156.166,-238.211,-222.771,-222.771,-169.232,-169.232,-132.017,-45.523,-44.623,-44.623,-44.369,-47.363,-47.363,-59.106,-59.106,-89.480,-164.542,-164.542,-231.095,-202.847,-202.847,-151.916,-151.916,-119.155
1655953200,-24.263,-24.542,-24.542,-25.663,-28.388,-28.388,-34.608,-34.608,-50.102,-99.286,-99.286,-221.639,-381.502,-381.502,-483.506,-483.506,-495.861,-24.446,-24.727,-24.727,-25.857,-28.605,-28.605,-34.885,-34.885,-50.559,-100.640,-100.640,-226.304,-387.262,-387.262,-472.996,-472.996,-465.445,-24.786,-25.070,-25.070,-26.211,-28.996,-28.996,-35.384,-35.384,-51.406,-103.241,-103.241,-234.033,-392.325,-392.325,-455.405,-455.405,-427.887,-26.144,-26.429,-26.429,-27.599,-30.510,-30.510,-37.310,-37.310,-54.600,-111.974,-111.974,-254.204,-391.302,-391.302,-399.414,-399.414,-341.683,-27.318,-27.597,-27.597,-28.780,-31.789,-31.789,-38.938,-38.938,-57.248,-118.114,-118.114,-262.948,-375.889,-375.889,-353.022,-353.022,-287.185,-28.977,-29.239,-29.239,-30.421,-33.555,-33.555,-41.193,-41.193,-60.885,-124.925,-124.925,-258.927,-330.186,-330.186,-286.174,-286.174,-226.506,-31.285,-31.504,-31.504,-32.654,-35.931,-35.931,-44.229,-44.229,-65.731,-132.714,-132.714,-251.515,-286.235,-286.235,-233.211,-233.211,-182.560,-38.661,-38.584,-38.584,-39.380,-42.860,-42.860,-52.994,-52.994,-79.265,-150.611,-150.611,-235.164,-221.674,-221.674,-169.033,-169.033,-133.021,-43.972,-43.523,-43.523,-43.841,-47.239,-47.239,-58.371,-58.371,-87.097,-159.647,-159.647,-228.861,-202.299,-202.299,-152.182,-152.182,-120.453
1655956800,-24.899,-25.210,-25.210,-26.404,-29.172,-29.172,-35.189,-35.189,-49.618,-94.031,-94.031,-214.080,-378.941,-378.941,-482.647,-482.647,-495.447,-25.106,-25.419,-25.419,-26.622,-29.413,-29.413,-35.491,-35.491,-50.090,-95.279,-95.279,-218.387,-384.463,-384.463,-472.071,-472.071,-465.164,-25.470,-25.786,-25.786,-27.001,-29.831,-29.831,-36.016,-36.016,-50.944,-97.694,-97.694,-225.859,-389.565,-389.565,-454.499,-454.499,-427.685,-26.845,-27.165,-27.165,-28.418,-31.384,-31.384,-37.973,-37.973,-54.114,-105.984,-105.984,-245.867,-388.627,-388.627,-397.949,-397.949,-340.767,-27.986,-28.306,-28.306,-29.579,-32.651,-32.651,-39.576,-39.576,-56.687,-111.906,-111.906,-254.570,-372.585,-372.585,-350.519,-350.519,-285.539,-29.556,-29.867,-29.867,-31.157,-34.363,-34.363,-41.749,-41.749,-60.159,-118.734,-118.734,-252.246,-327.840,-327.840,-284.487,-284.487,-225.894,-31.685,-31.972,-31.972,-33.257,-36.623,-36.623,-44.622,-44.622,-64.731,-126.667,-126.667,-246.232,-284.332,-284.332,-232.057,-232.057,-182.625,-38.265,-38.361,-38.361,-39.436,-43.092,-43.092,-52.792,-52.792,-77.482,-145.256,-145.256,-231.902,-220.591,-220.591,-168.901,-168.901,-133.987,-42.929,-42.777,-42.777,-43.520,-47.190,-47.190,-57.840,-57.840,-85.005,-154.791,-154.791,-226.421,-201.706,-201.706,-152.441,-152.441,-121.648
1655960400,-25.574,-25.907,-25.907,-27.152,-29.947,-29.947,-35.820,-35.820,-49.444,-89.864,-89.864,-206.319,-376.178,-376.178,-481.869,-481.869,-495.138,-25.797,-26.133,-26.133,-27.387,-30.208,-30.208,-36.142,-36.142,-49.931,-91.032,-91.032,-210.299,-381.469,-381.469,-471.230,-471.230,-464.982,-26.175,-26.514,-26.514,-27.783,-30.644,-30.644,-36.686,-36.686,-50.786,-93.287,-93.287,-217.484,-386.612,-386.612,-453.673,-453.673,-427.573,-27.548,-27.895,-27.895,-29.208,-32.214,-32.214,-38.652,-38.652,-53.897,-101.122,-101.122,-237.226,-385.784,-385.784,-396.527,-396.527,-339.904,-28.654,-29.004,-29.004,-30.347,-33.463,-33.463,-40.226,-40.226,-56.388,-106.788,-106.788,-245.947,-369.221,-369.221,-348.148,-348.148,-284.059,-30.147,-30.495,-30.495,-31.866,-35.124,-35.124,-42.324,-42.324,-59.704,-113.484,-113.484,-245.221,-325.437,-325.437,-282.898,-282.898,-225.383,-32.132,-32.468,-32.468,-33.856,-37.283,-37.283,-45.060,-45.060,-64.027,-121.371,-121.371,-240.648,-282.427,-282.427,-231.023,-231.023,-182.773,-38.096,-38.311,-38.311,-39.593,-43.369,-43.369,-52.732,-52.732,-76.032,-140.220,-140.220,-228.478,-219.563,-219.563,-168.869,-168.869,-134.958,-42.256,-42.305,-42.305,-43.364,-47.225,-47.225,-57.489,-57.489,-83.222,-150.086,-150.086,-223.818,-201.113,-201.113,-152.734,-152.734,-122.792
1655964000,-26.397,-26.747,-26.747,-28.035,-30.867,-30.867,-36.675,-36.675,-49.798,-86.983,-86.983,-199.042,-373.522,-373.522,-481.452,-481.452,-495.207,-26.631,-26.983,-26.983,-28.283,-31.143,-31.143,-37.014,-37.014,-50.297,-88.092,-88.092,-202.722,-378.585,-378.585,-470.754,-470.754,-465.181,-27.013,-27.370,-27.370,-28.685,-31.588,-31.588,-37.564,-37.564,-51.135,-90.189,-90.189,-209.571,-383.746,-383.746,-453.194,-453.194,-427.825,-28.362,-28.730,-28.730,-30.096,-33.146,-33.146,-39.506,-39.506,-54.111,-97.516,-97.516,-228.848,-383.003,-383.003,-395.390,-395.390,-339.348,-29.428,-29.801,-29.801,-31.202,-34.366,-34.366,-41.037,-41.037,-56.495,-102.872,-102.872,-237.555,-366.003,-366.003,-346.131,-346.131,-282.968,-30.846,-31.222,-31.222,-32.660,-35.969,-35.969,-43.057,-43.057,-59.645,-109.315,-109.315,-238.235,-323.172,-323.172,-281.616,-281.616,-225.174,-32.705,-33.078,-33.078,-34.549,-38.033,-38.033,-45.663,-45.663,-63.722,-116.992,-116.992,-235.044,-280.694,-280.694,-230.287,-230.287,-183.169,-38.167,-38.467,-38.467,-39.907,-43.777,-43.777,-52.889,-52.889,-74.999,-135.700,-135.700,-225.039,-218.709,-218.709,-169.050,-169.050,-136.044,-41.918,-42.107,-42.107,-43.406,-47.408,-47.408,-57.372,-57.372,-81.829,-145.712,-145.712,-221.174,-200.629,-200.629,-153.165,-153.165,-123.988
1655967600,-27.379,-27.744,-27.744,-29.076,-31.961,-31.961,-37.773,-37.773,-50.636,-85.255,-85.255,-192.539,-370.991,-370.991,-481.404,-481.404,-495.661,-27.618,-27.987,-27.987,-29.331,-32.246,-32.246,-38.124,-38.124,-51.145,-86.317,-86.317,-195.947,-375.827,-375.827,-470.649,-470.649,-465.767,-27.997,-28.370,-28.370,-29.732,-32.691,-32.691,-38.670,-38.670,-51.948,-88.256,-88.256,-202.417,-380.981,-380.981,-453.071,-453.071,-428.448,-29.305,-29.691,-29.691,-31.107,-34.213,-34.213,-40.556,-40.556,-54.725,-95.031,-95.031,-221.016,-380.287,-380.287,-394.551,-394.551,-339.111,-30.324,-30.717,-30.717,-32.172,-35.391,-35.391,-42.030,-42.030,-56.979,-100.039,-100.039,-229.630,-362.931,-362.931,-344.477,-344.477,-282.265,-31.667,-32.067,-32.067,-33.565,-36.930,-36.930,-43.962,-43.962,-59.952,-106.146,-106.146,-231.474,-321.047,-321.047,-280.649,-280.649,-225.268,-33.410,-33.813,-33.813,-35.354,-38.896,-38.896,-46.440,-46.440,-63.783,-113.497,-113.497,-229.542,-279.136,-279.136,-229.853,-229.853,-183.810,-38.443,-38.806,-38.806,-40.370,-44.319,-44.319,-53.249,-53.249,-74.350,-131.743,-131.743,-221.620,-218.029,-218.029,-169.438,-169.438,-137.245,-41.852,-42.141,-42.141,-43.624,-47.738,-47.738,-57.469,-57.469,-80.806,-141.728,-141.728,-218.510,-200.261,-200.261,-153.736,-153.736,-125.243
1655971200,-28.625,-29.007,-29.007,-30.392,-33.363,-33.363,-39.274,-39.274,-52.167,-84.806,-84.806,-187.321,-368.859,-368.859,-481.921,-481.921,-496.690,-28.864,-29.250,-29.250,-30.649,-33.651,-33.651,-39.630,-39.630,-52.680,-85.826,-85.826,-190.478,-373.464,-373.464,-471.113,-471.113,-466.934,-29.230,-29.621,-29.621,-31.038,-34.083,-34.083,-40.156,-40.156,-53.416,-87.592,-87.592,-196.518,-378.563,-378.563,-453.492,-453.492,-429.633,-30.470,-30.874,-30.874,-32.346,-35.533,-35.533,-41.938,-41.938,-55.878,-93.740,-93.740,-214.184,-377.826,-377.826,-394.181,-394.181,-339.373,-31.430,-31.843,-31.843,-33.354,-36.652,-36.652,-43.331,-43.331,-57.964,-98.352,-98.352,-222.568,-360.167,-360.167,-343.343,-343.343,-282.101,-32.691,-33.112,-33.112,-34.670,-38.109,-38.109,-45.157,-45.157,-60.731,-104.046,-104.046,-225.279,-319.209,-319.209,-280.146,-280.146,-225.801,-34.317,-34.746,-34.746,-36.354,-39.968,-39.968,-47.494,-47.494,-64.299,-110.970,-110.970,-224.405,-277.879,-277.879,-229.842,-229.842,-184.806,-38.958,-39.369,-39.369,-41.037,-45.065,-45.065,-53.879,-53.879,-74.144,-128.469,-128.469,-218.358,-217.606,-217.606,-170.111,-170.111,-138.635,-42.064,-42.427,-42.427,-44.057,-48.271,-48.271,-57.830,-57.830,-80.202,-138.260,-138.260,-215.931,-200.086,-200.086,-154.516,-154.516,-126.624
