timestamp,r,rOld,kp,ki,delta,irrigation_old,et0,opt_avg,obs_avg,daily_pluv,compensation,irrigation_error,scenario_id
1719126000,-0.21054095864725966,-0.21054095864725966,12,3,0.64,0.64,1.6632265501860408,4.71830645976308,4.046376758011586,1.7999999999999998,0,0.64,Plus_no_comp
1719212400,-0.21990631799296206,-0.21990631799296206,12,3,0.03,0.03,1.5856569477409397,4.71830645976308,4.022774200836827,5.8,0.64,0.03,Plus_no_comp
1719298800,-0.22409835260722216,-0.22409835260722216,12,3,0.28,0.28,1.6430199437714739,4.71830645976308,4.001646488128335,12.6,0.34,0.28,Plus_no_comp
1719385200,-0.21846541876691866,-0.21846541876691866,12,3,0.22,0.22,3.7360647761286776,4.71830645976308,4.004585648872836,1.0,0.32,0.22,Plus_no_comp
1719471600,-0.21809328898672395,-0.21809328898672395,12,3,0.74,0.74,3.2830581050375076,4.71830645976308,3.983937242240845,0.0,0.18,0.74,Plus_no_comp
1719558000,-0.17423633967678673,-0.17423633967678673,12,3,1.4235743726888865,1.4235743726888865,8.105450401178516,4.71830645976308,4.09216013440698,0.0,0.41,0.68,Plus_no_comp
1719644400,-0.13815272205290613,-0.13815272205290613,12,3,2.332119618016735,2.332119618016735,6.855392222915658,4.71830645976308,4.185356064850771,0.0,0.55,0.89,Plus_no_comp
1719730800,-0.10923171786651951,-0.10923171786651951,12,3,2.4414765146538158,2.4414765146538158,6.275478723242181,4.71830645976308,4.26715833182344,0.0,0.77,0.09,Plus_no_comp
1719817200,-0.06005180517751369,-0.06005180517751369,12,3,3.2714800513893447,3.2714800513893447,9.008052630760128,4.71830645976308,4.403987161913166,0.0,0.55,0.42,Plus_no_comp
1719903600,-0.03753549909904128,-0.03753549909904128,12,3,3.4590692270338894,3.4590692270338894,6.40343719338403,4.71830645976308,4.478019738747552,0.0,0.47,0.03,Plus_no_comp
1719990000,-0.016707773526952338,-0.016707773526952338,12,3,3.8788786133180997,3.8788786133180997,6.828302846826217,4.71830645976308,4.548986196574372,0.0,0.18,0.22,Plus_no_comp
1720076400,-0.027179836016476708,-0.027179836016476708,12,3,4.181674355394377,4.181674355394377,3.501203041998366,4.71830645976308,4.551300513347763,0.0,0.22,0.51,Plus_no_comp
1720162800,-0.03451399014231942,-0.03451399014231942,12,3,4.020122535457307,4.020122535457307,4.1107559323561444,4.71830645976308,4.5620727415224716,0.0,0.25,0.03,Plus_no_comp
1720249200,-0.011668141599908114,-0.011668141599908114,12,3,4.459268293166518,4.459268293166518,7.570021332731803,4.71830645976308,4.631631153096991,0.0,0.25,0.2,Plus_no_comp
1720335600,0.013302401432630794,0.013302401432630794,12,3,5.448822013854879,5.448822013854879,8.236770338981968,4.71830645976308,4.700057651027035,0.0,0.25,0.65,Plus_no_comp
1720422000,-0.011371608653417199,-0.011371608653417199,12,3,5.658619066862051,5.658619066862051,3.5751601774979624,4.71830645976308,4.6750337593112175,0.0,0.29,0.54,Plus_no_comp
1720508400,-0.018376637428028416,-0.018376637428028416,12,3,5.73942880928263,5.73942880928263,6.021523561190189,4.71830645976308,4.681265334920218,1.0,0.46,0.22,Plus_no_comp
1720594800,-0.023794405529370125,-0.023794405529370125,12,3,6.19303237547842,6.19303237547842,6.408995121084742,4.71830645976308,4.688017377667659,0.0,0.47,0.59,Plus_no_comp
1720681200,-0.023779263716792932,-0.023779263716792932,12,3,6.9318762860789676,6.9318762860789676,7.100145056634385,4.71830645976308,4.701468192174902,0.0,0.45,0.81,Plus_no_comp
1720767600,-0.013795801242773164,-0.013795801242773164,12,3,7.020290432038885,7.020290432038885,8.417233027045325,4.71830645976308,4.729861682529416,0.0,0.54,0.01,Plus_no_comp
1720854000,0.0046743888893498045,0.0046743888893498045,12,3,8.06595588029241,8.06595588029241,9.478835789843245,4.71830645976308,4.7702668799598325,0.0,0.47,0.81,Plus_no_comp
1720940400,0.006401649175640646,0.006401649175640646,12,3,8.805887951254821,8.805887951254821,8.65408688020589,4.71830645976308,4.781950131917765,0.0,0.54,0.7,Plus_no_comp
1721026800,-0.005056401920551654,-0.005056401920551654,12,3,8.993222132338857,8.993222132338857,8.038553013013921,4.71830645976308,4.769589358080824,0.0,0.51,0.34,Plus_no_comp
1721113200,-0.018749503158997417,-0.018749503158997417,12,3,8.932656408000517,8.932656408000517,8.079175888672749,4.71830645976308,4.748404786861437,0.0,0.62,0.16,Plus_no_comp
1721199600,-0.011942645330211804,-0.011942645330211804,12,3,9.938510765955307,9.938510765955307,9.89638188136864,4.71830645976308,4.75924521865438,0.0,0.4,0.96,Plus_no_comp
1721286000,-0.020927575740397067,-0.020927575740397067,12,3,10.107908873811892,10.107908873811892,8.856197692783795,4.71830645976308,4.744011077782476,0.0,0.49,0.34,Plus_no_comp
1721372400,-0.03801651168521002,-0.03801651168521002,12,3,9.878792107418507,9.878792107418507,8.59349226880255,4.71830645976308,4.714363759932468,0.0,0.49,0.09,Plus_no_comp
1721458800,-0.06954444040209812,-0.06954444040209812,12,3,9.391823641609555,9.391823641609555,6.5994601364997925,4.71830645976308,4.654395091607966,0.0,0.46,0.1,Plus_no_comp
1721545200,-0.0981634863605269,-0.0981634863605269,12,3,9.603904631026829,9.603904631026829,6.35886520949269,4.71830645976308,4.596826053325543,0.0,0.18,0.85,Plus_no_comp
